"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147"
"1",-10.1072263717651,-2.79287123680115,23.135570526123,6.9801197052002,-5.41318464279175,-4.44517135620117,6.78965902328491,10.926248550415,-3.31370401382446,-11.3884105682373,-10.7294940948486,20.8507041931152,-5.48821496963501,9.80393314361572,6.30158376693726,1.05279719829559,3.29780054092407,-1.90245246887207,7.10096454620361,-3.22936940193176,0.158786997199059,5.83165073394775,0.604877471923828,0.211461067199707,-7.38510894775391,-13.8764991760254,5.23368835449219,-0.937798500061035,-3.49257493019104,-0.0300726890563965,-8.94705104827881,-1.29221522808075,5.91306686401367,0.718240797519684,-3.06706094741821,-6.25284099578857,-7.55271911621094,8.45405578613281,-14.7406044006348,-20.9417304992676,-0.356963694095612,1.67092323303223,-5.06045913696289,-6.50725126266479,-2.51648569107056,5.4251766204834,3.49692010879517,5.84373092651367,3.26325821876526,5.89984607696533,10.9625434875488,0.274373114109039,-3.50259280204773,-5.86673069000244,-1.53179669380188,1.75559663772583,4.83692741394043,-3.31120300292969,10.1436243057251,-15.8799772262573,-0.68418550491333,-6.00629472732544,-8.19634437561035,-7.27932786941528,-17.4389228820801,-20.5378341674805,-9.3256311416626,-4.76227855682373,-10.5343227386475,16.566951751709,-6.05807065963745,5.3689079284668,9.03908538818359,-6.81225156784058,15.2327175140381,5.92884731292725,13.5984840393066,-5.36958408355713,-16.7736473083496,-9.88323974609375,-0.735535502433777,7.04062843322754,-6.16868495941162,-12.4166269302368,5.98440456390381,-0.661940097808838,6.40801191329956,-21.1938362121582,-9.38167190551758,-25.6531600952148,-8.83423042297363,-4.37151622772217,-0.157052040100098,10.3728370666504,11.0765380859375,-2.07717227935791,-21.7136764526367,-5.22606897354126,-11.4447917938232,4.37413215637207,11.7442932128906,5.68284845352173,6.18914604187012,-1.78386425971985,13.11496925354,1.64229941368103,6.0522289276123,-5.91663026809692,17.8665962219238,-4.29121589660645,1.24653720855713,9.21278381347656,-11.9307622909546,5.05052947998047,9.59220314025879,3.18596220016479,6.35739421844482,-7.4408073425293,5.26864147186279,12.5665502548218,-7.35758304595947,-5.38824415206909,-4.3844051361084,5.26832151412964,0.855291366577148,-9.90850257873535,-5.87783861160278,-3.4037036895752,-8.91793155670166,7.40411472320557,-7.69346284866333,1.61781477928162,-9.26928043365479,3.89557218551636,-3.20284175872803,-7.85439205169678,10.5158081054688,-9.86034488677979,11.802806854248,-31.8067588806152,18.011568069458,-14.3168888092041,-26.9799385070801,2.50647449493408,-2.87616348266602,10.530611038208,-0.669868469238281
"2",-10.7775783538818,-2.66439723968506,23.1423530578613,7.66111612319946,-6.30869388580322,-4.15013837814331,7.29099178314209,11.3968086242676,-2.16575241088867,-10.9204425811768,-9.72486114501953,19.7745513916016,-5.43018245697021,9.89729976654053,5.64966201782227,0.898086905479431,2.93321323394775,-0.864156723022461,7.5309009552002,-3.11970639228821,0.203082486987114,6.11319446563721,-0.552591323852539,1.07189846038818,-6.85494804382324,-13.9808139801025,5.9645824432373,-1.23620176315308,-3.77594828605652,0.903501033782959,-9.02921676635742,-0.826355159282684,6.01017141342163,0.619585812091827,-3.71068787574768,-6.52542209625244,-7.34553146362305,9.42420959472656,-13.7846145629883,-19.0399475097656,-0.455590397119522,0.882400274276733,-4.57686758041382,-7.18802928924561,-0.957178115844727,5.70319747924805,4.59574794769287,6.26349830627441,4.29902267456055,6.0530309677124,11.3554000854492,0.189900442957878,-4.83199024200439,-5.61546993255615,-0.633135259151459,1.90803599357605,4.4590482711792,-3.46848440170288,10.4823455810547,-16.1350631713867,-1.44910049438477,-5.37012767791748,-8.31380558013916,-8.56537246704102,-17.2818565368652,-20.9822731018066,-9.135498046875,-5.41883850097656,-9.62296676635742,16.5788688659668,-5.98377513885498,4.53040981292725,9.62199211120605,-7.11770868301392,15.7406253814697,6.09441089630127,12.8013896942139,-4.86680603027344,-16.6533336639404,-9.98239421844482,-0.737234950065613,5.64424085617065,-6.75217914581299,-11.8974571228027,4.83496952056885,-0.965846300125122,5.73322868347168,-19.9497108459473,-8.92331981658936,-26.3466243743896,-8.97667217254639,-4.51035785675049,-0.281047821044922,10.8298511505127,11.6167736053467,-1.93814599514008,-22.2363243103027,-5.47159910202026,-10.2022323608398,4.2185206413269,11.2496566772461,5.64631748199463,6.62410163879395,-2.8637421131134,13.8466062545776,2.21152520179749,6.53249073028564,-5.33012199401855,18.0061912536621,-4.63032293319702,0.945359230041504,8.25607681274414,-10.9929447174072,5.15004539489746,9.37870407104492,1.62375402450562,6.36079883575439,-6.62278127670288,5.47690296173096,11.4769296646118,-6.63489055633545,-6.29636430740356,-4.27053880691528,5.00682973861694,0.185789108276367,-9.14054298400879,-5.07766580581665,-3.39950847625732,-8.86684608459473,7.64196872711182,-6.89534139633179,1.9494514465332,-9.37195205688477,3.52541875839233,-3.98376393318176,-8.28518009185791,11.0210552215576,-8.98894691467285,10.9574890136719,-32.2538719177246,18.6362686157227,-13.8681268692017,-28.7829132080078,2.49975204467773,-3.74634552001953,10.2936191558838,-0.214035034179688
"3",-11.2883605957031,-2.44628524780273,23.029914855957,8.37133598327637,-7.13129138946533,-3.78238964080811,7.78478050231934,11.7716789245605,-0.96269702911377,-10.4275827407837,-8.61049747467041,18.5490455627441,-5.20618438720703,10.0016822814941,5.03630638122559,0.810008406639099,2.41998100280762,0.162257194519043,7.88062286376953,-3.04121041297913,0.12764684855938,6.45651960372925,-1.63964748382568,1.93336868286133,-6.33264017105103,-14.1020126342773,6.70270252227783,-1.62272453308105,-3.98772263526917,1.91238927841187,-9.03651332855225,-0.318778395652771,6.10805892944336,0.47642719745636,-4.3245792388916,-6.82385158538818,-7.11547565460205,10.2610015869141,-12.5540771484375,-16.9823112487793,-0.543128430843353,0.0849475860595703,-4.09164810180664,-7.84657764434814,0.703155517578125,5.93179655075073,5.59889125823975,6.56721115112305,5.23141384124756,6.02779483795166,11.7446384429932,0.108936071395874,-6.06459379196167,-5.37976741790771,0.172504484653473,2.14733195304871,3.96641445159912,-3.54388475418091,10.7127294540405,-16.3760108947754,-2.31260633468628,-4.57027673721313,-8.41081523895264,-9.80686187744141,-17.0176277160645,-21.2717323303223,-8.87876415252686,-6.08131790161133,-8.65767478942871,16.5422325134277,-5.81817817687988,3.72238731384277,10.1237106323242,-7.33536863327026,16.1617984771729,6.05100536346436,11.9374361038208,-4.32966232299805,-16.5839233398438,-10.0268306732178,-0.721726775169373,4.20672082901001,-7.0784215927124,-11.319561958313,3.63713097572327,-1.18356466293335,5.10182762145996,-18.7057762145996,-8.38257312774658,-26.8705978393555,-9.05176639556885,-4.54546451568604,-0.496163368225098,11.2792987823486,12.0794982910156,-1.73531436920166,-22.6183433532715,-5.72119665145874,-8.83479690551758,4.04561996459961,10.8620758056641,5.55380916595459,7.06344938278198,-3.87289643287659,14.3915615081787,2.66467332839966,7.02854824066162,-4.65560150146484,17.9880714416504,-4.90290689468384,0.674127578735352,7.25556182861328,-9.92869186401367,5.08191108703613,9.15233993530273,0.122447967529297,6.48298168182373,-5.79847717285156,5.6020565032959,10.3260746002197,-5.76283645629883,-7.28747415542603,-4.08785724639893,4.71430253982544,-0.491253852844238,-8.18565273284912,-4.05571413040161,-3.38251113891602,-8.88260650634766,7.85044956207275,-6.02689695358276,2.26052927970886,-9.5182638168335,3.13719892501831,-4.71903371810913,-8.68488883972168,11.6144752502441,-8.08098983764648,9.96947383880615,-32.5652465820312,19.0724792480469,-13.3283166885376,-30.3807792663574,2.55063724517822,-4.57924461364746,10.0546226501465,0.130905151367188
"4",-11.6374244689941,-2.13999342918396,22.789436340332,9.08669185638428,-7.85145854949951,-3.35540866851807,8.25116062164307,12.0473155975342,0.259716749191284,-9.92093372344971,-7.40383243560791,17.196231842041,-4.81789207458496,10.1178979873657,4.47079372406006,0.804442942142487,1.76903021335602,1.15899229049683,8.1377592086792,-3.00263524055481,-0.0690576732158661,6.85314989089966,-2.63528537750244,2.77781391143799,-5.83753108978271,-14.2360038757324,7.43227958679199,-2.09484767913818,-4.11398220062256,2.98049259185791,-8.97805404663086,0.214041471481323,6.20356798171997,0.288036227226257,-4.89952087402344,-7.15004730224609,-6.86351680755615,10.9575347900391,-11.0677223205566,-14.8181400299072,-0.601955771446228,-0.705798149108887,-3.63302850723267,-8.48695659637451,2.43170499801636,6.11263561248779,6.49185085296631,6.75474548339844,6.05005502700806,5.82280826568604,12.1167583465576,0.0319935232400894,-7.18089294433594,-5.1713809967041,0.875100910663605,2.46859908103943,3.37187957763672,-3.5349006652832,10.8280067443848,-16.5822257995605,-3.26203012466431,-3.61579942703247,-8.49496459960938,-10.9827899932861,-16.6586303710938,-21.3836517333984,-8.55519580841064,-6.74831008911133,-7.64837265014648,16.4515686035156,-5.56742191314697,2.9738187789917,10.5340404510498,-7.4570951461792,16.4990863800049,5.80443000793457,11.0363721847534,-3.75982308387756,-16.5566349029541,-10.0102806091309,-0.692440867424011,2.74787497520447,-7.14473628997803,-10.6918659210205,2.40835738182068,-1.32139611244202,4.5205602645874,-17.4816207885742,-7.77419281005859,-27.2072792053223,-9.06069660186768,-4.46920680999756,-0.797021865844727,11.7116546630859,12.4554195404053,-1.47341454029083,-22.8509635925293,-5.96720838546753,-7.38208627700806,3.85777902603149,10.5861558914185,5.40067958831787,7.48547744750977,-4.79399585723877,14.7475461959839,2.98922562599182,7.53430652618408,-3.90396165847778,17.8099021911621,-5.11281490325928,0.427807331085205,6.23271942138672,-8.7593240737915,4.85221862792969,8.89259719848633,-1.29117393493652,6.73696804046631,-4.9850902557373,5.62994289398193,9.12567615509033,-4.75045299530029,-8.34064865112305,-3.85197973251343,4.40622186660767,-1.16088485717773,-7.06458950042725,-2.83365964889526,-3.35143566131592,-8.96183013916016,8.02396297454834,-5.10797262191772,2.54319047927856,-9.70663642883301,2.73876476287842,-5.40148162841797,-9.04968929290771,12.28528881073,-7.1507453918457,8.85898303985596,-32.750560760498,19.3051567077637,-12.6986770629883,-31.7517166137695,2.65084457397461,-5.36325836181641,9.81402206420898,0.365325927734375
"5",-11.8265399932861,-1.74938333034515,22.4132862091064,9.78212928771973,-8.44199466705322,-2.88434076309204,8.67062282562256,12.2222690582275,1.46524775028229,-9.4103422164917,-6.12480926513672,15.7398700714111,-4.27184581756592,10.246280670166,3.96156120300293,0.895221173763275,0.994163870811462,2.10949611663818,8.29238414764404,-3.01096892356873,-0.384399324655533,7.29279232025146,-3.52093982696533,3.58756637573242,-5.3883318901062,-14.3782176971436,8.13673210144043,-2.64789724349976,-4.14275789260864,4.09112024307251,-8.86396312713623,0.755072593688965,6.29300260543823,0.0544824302196503,-5.42725896835327,-7.50438022613525,-6.5914306640625,11.5114135742188,-9.35199737548828,-12.5981588363647,-0.615960478782654,-1.47464370727539,-3.22711896896362,-9.11373996734619,4.1938591003418,6.24751567840576,7.26301240921021,6.82704544067383,6.7481541633606,5.44126224517822,12.45849609375,-0.0412057340145111,-8.16434288024902,-5.00138092041016,1.467777967453,2.86481523513794,2.68927145004272,-3.44116020202637,10.8238515853882,-16.7337036132812,-4.28264427185059,-2.51984834671021,-8.57314205169678,-12.0733032226562,-16.219295501709,-21.3001976013184,-8.16561317443848,-7.4180326461792,-6.60525321960449,16.3017196655273,-5.2406702041626,2.31245040893555,10.8443355560303,-7.4781551361084,16.7570953369141,5.3658971786499,10.12815284729,-3.15883946418762,-16.559268951416,-9.92682933807373,-0.652541279792786,1.28685617446899,-6.95396709442139,-10.0247325897217,1.16583466529846,-1.38849139213562,3.99466991424561,-16.2963466644287,-7.11498594284058,-27.3432464599609,-9.0048360824585,-4.27620601654053,-1.17712020874023,12.117073059082,12.7361145019531,-1.15861034393311,-22.9287719726562,-6.20201826095581,-5.88473176956177,3.65687370300293,10.4221954345703,5.18408823013306,7.86810445785522,-5.61104869842529,14.9159936904907,3.17622661590576,8.04290962219238,-3.08779072761536,17.4734477996826,-5.26462650299072,0.200794219970703,5.20809173583984,-7.50778198242188,4.4719123840332,8.57901287078857,-2.5924768447876,7.13169574737549,-4.19971179962158,5.54835605621338,7.88790607452393,-3.61096477508545,-9.43148040771484,-3.57990121841431,4.09860467910767,-1.80944156646729,-5.80097198486328,-1.43855810165405,-3.30569362640381,-9.10054779052734,8.15641307830811,-4.15909910202026,2.79031753540039,-9.93376731872559,2.33942937850952,-6.02495002746582,-9.37682342529297,13.019344329834,-6.21242523193359,7.64895057678223,-32.8196792602539,19.32297706604,-11.9814262390137,-32.8780479431152,2.7903938293457,-6.08765029907227,9.5715446472168,0.492694854736328
"6",-11.8612785339355,-1.28073573112488,21.8953952789307,10.4322910308838,-8.87882423400879,-2.38565635681152,9.02460670471191,12.297176361084,2.61837887763977,-8.90422058105469,-4.7954044342041,14.2049980163574,-3.57927775382996,10.3867330551147,3.51598596572876,1.09365034103394,0.111740469932556,2.99885439872742,8.33724117279053,-3.07118582725525,-0.811672449111938,7.76357412338257,-4.28081703186035,4.34588813781738,-5.00264501571655,-14.5237464904785,8.79909515380859,-3.2750301361084,-4.06453561782837,5.22744274139404,-8.705078125,1.28730845451355,6.37218284606934,-0.223316386342049,-5.90075445175171,-7.88553953170776,-6.3018741607666,11.9243469238281,-7.44046783447266,-10.3732395172119,-0.57109135389328,-2.20719480514526,-2.89716625213623,-9.73179817199707,5.95407915115356,6.33833360671997,7.90389823913574,6.78602600097656,7.32264089584351,4.89077472686768,12.7573280334473,-0.111587226390839,-9.0019359588623,-4.87971210479736,1.94681215286255,3.32708668708801,1.93308162689209,-3.26448631286621,10.698657989502,-16.8114738464355,-5.35802364349365,-1.29955983161926,-8.65122032165527,-13.0602207183838,-15.715802192688,-21.0088806152344,-7.71176528930664,-8.0880765914917,-5.53852462768555,16.0879402160645,-4.84974193572998,1.76393795013428,11.0477333068848,-7.39739418029785,16.9420070648193,4.75176811218262,9.24203491210938,-2.52816247940063,-16.5765914916992,-9.77110004425049,-0.604780793190002,-0.15815806388855,-6.51446437835693,-9.3297872543335,-0.0738600492477417,-1.3964204788208,3.52785587310791,-15.16810131073,-6.42333078384399,-27.2698211669922,-8.88569068908691,-3.96364951133728,-1.62906169891357,12.4855766296387,12.9142360687256,-0.798266053199768,-22.8499221801758,-6.41824102401733,-4.38323545455933,3.4443416595459,10.366153717041,4.90316200256348,8.18955612182617,-6.30964183807373,14.902045249939,3.22061848640442,8.54688930511475,-2.22113180160522,16.9844150543213,-5.36342239379883,-0.0129303932189941,4.2008171081543,-6.19807815551758,3.95660972595215,8.19215393066406,-3.75947189331055,7.67151165008545,-3.45878839492798,5.3474006652832,6.6251220703125,-2.36157608032227,-10.5325555801392,-3.28939580917358,3.80746507644653,-2.42488384246826,-4.42051315307617,0.0979371070861816,-3.24524116516113,-9.29429244995117,8.24136829376221,-3.20087099075317,2.99568581581116,-10.194637298584,1.94976043701172,-6.58424758911133,-9.66451740264893,13.7994251251221,-5.279953956604,6.36415767669678,-32.7824249267578,19.1187267303467,-11.1798915863037,-33.7468414306641,2.9577693939209,-6.74287605285645,9.32623100280762,0.519462585449219
"7",-11.7508430480957,-0.742700934410095,21.2315883636475,11.0123329162598,-9.14176177978516,-1.87694823741913,9.29616165161133,12.274751663208,3.68533778190613,-8.40937900543213,-3.43915152549744,12.617449760437,-2.75580787658691,10.5386428833008,3.14035701751709,1.40803527832031,-0.859660625457764,3.81410217285156,8.26810836791992,-3.18609642982483,-1.34017741680145,8.25237083435059,-4.90219974517822,5.03735542297363,-4.69649457931519,-14.6674785614014,9.40247821807861,-3.96736574172974,-3.87264609336853,6.37272071838379,-8.51252269744873,1.79431104660034,6.4366512298584,-0.543640553951263,-6.31418657302856,-8.29058456420898,-5.99819660186768,12.2020950317383,-5.37308502197266,-8.19283771514893,-0.456004947423935,-2.89023542404175,-2.66296815872192,-10.3459320068359,7.67673063278198,6.38712215423584,8.40924835205078,6.63437843322754,7.77414083480835,4.18308925628662,13.0017719268799,-0.180572360754013,-9.68434906005859,-4.81488704681396,2.31190586090088,3.84479641914368,1.11820650100708,-3.00876760482788,10.4534025192261,-16.7980613708496,-6.47037792205811,0.0242311954498291,-8.73371410369873,-13.9275417327881,-15.1655044555664,-20.5029735565186,-7.196373462677,-8.75540924072266,-4.45841598510742,15.8062391281128,-4.40877389907837,1.35111522674561,11.1392078399658,-7.21730899810791,17.0612831115723,3.98304176330566,8.40560150146484,-1.86914646625519,-16.5908203125,-9.53853511810303,-0.551433205604553,-1.57023954391479,-5.83985042572021,-8.61971664428711,-1.29509747028351,-1.35874533653259,3.12216639518738,-14.1136875152588,-5.7186861038208,-26.9833717346191,-8.7047758102417,-3.53143334388733,-2.14473438262939,12.8072299957275,12.983772277832,-0.400692462921143,-22.6162033081055,-6.60892152786255,-2.91693353652954,3.22123718261719,10.4098777770996,4.55903911590576,8.42910003662109,-6.87714576721191,14.7143306732178,3.12142157554626,9.03836059570312,-1.31919717788696,16.3523750305176,-5.41465520858765,-0.21959114074707,3.22812843322754,-4.85475635528564,3.32635307312012,7.71447038650513,-4.77330112457275,8.35610675811768,-2.77775812149048,5.01988172531128,5.34964179992676,-1.02319526672363,-11.6143417358398,-2.9984302520752,3.54847097396851,-2.99707794189453,-2.95049095153809,1.74043130874634,-3.17054271697998,-9.53824615478516,8.27223491668701,-2.2534556388855,3.15399837493896,-10.4828519821167,1.58140659332275,-7.075270652771,-9.91200637817383,14.6055583953857,-4.36660051345825,5.03079891204834,-32.6482391357422,18.6895408630371,-10.2985076904297,-34.3500823974609,3.14043712615967,-7.32055282592773,9.0765323638916,0.454788208007812
"8",-11.5077247619629,-0.146062344312668,20.4199314117432,11.4985456466675,-9.21522426605225,-1.37651240825653,9.47046852111816,12.159610748291,4.63512706756592,-7.93095302581787,-2.08054137229919,11.0033588409424,-1.82093155384064,10.7009191513062,2.83970499038696,1.84340333938599,-1.89975607395172,4.54454708099365,8.0839204788208,-3.35618472099304,-1.955531001091,8.74510860443115,-5.37565422058105,5.64835596084595,-4.4838342666626,-14.8043184280396,9.93055534362793,-4.71406841278076,-3.5635974407196,7.5107102394104,-8.29738235473633,2.2606999874115,6.48174810409546,-0.903938174247742,-6.66319227218628,-8.71494388580322,-5.68444204330444,12.3540115356445,-3.19536972045898,-6.10375213623047,-0.262312263250351,-3.51196241378784,-2.54029750823975,-10.9606246948242,9.32687091827393,6.39607286453247,8.77716255187988,6.37556648254395,8.1069164276123,3.33369731903076,13.1815891265869,-0.249967068433762,-10.2060241699219,-4.81345558166504,2.56602454185486,4.40590286254883,0.259549140930176,-2.67998361587524,10.0918655395508,-16.6778030395508,-7.60095643997192,1.42738282680511,-8.82362270355225,-14.6618461608887,-14.5864992141724,-19.7820129394531,-6.62316942214966,-9.41631317138672,-3.37494850158691,15.4534063339233,-3.93396711349487,1.09317111968994,11.1156806945801,-6.94403505325317,17.1234264373779,3.08477878570557,7.64388561248779,-1.18314027786255,-16.5821342468262,-9.22561073303223,-0.494173288345337,-2.93388223648071,-4.94869422912598,-7.90812015533447,-2.48346209526062,-1.29044079780579,2.77796626091003,-13.1481323242188,-5.02108860015869,-26.4854125976562,-8.46359825134277,-2.9824390411377,-2.71540260314941,13.0722770690918,12.9402637481689,0.0251386165618896,-22.2330265045166,-6.7676944732666,-1.52289438247681,2.98829793930054,10.5413436889648,4.15491485595703,8.56767272949219,-7.30292320251465,14.3647499084473,2.88178014755249,9.50921058654785,-0.398062229156494,15.590425491333,-5.42391395568848,-0.425445079803467,2.30500221252441,-3.50243282318115,2.60511016845703,7.13102912902832,-5.6185941696167,9.18046474456787,-2.1704535484314,4.56168746948242,4.07348823547363,0.379935264587402,-12.6457042694092,-2.72460269927979,3.33646821975708,-3.5178747177124,-1.41895389556885,3.45093965530396,-3.08251762390137,-9.82728862762451,8.24252986907959,-1.33614110946655,3.26108312606812,-10.7905864715576,1.24669790267944,-7.4949893951416,-10.1193990707397,15.4157743453979,-3.4848575592041,3.67569828033447,-32.4258995056152,18.0370025634766,-9.34290409088135,-34.6849594116211,3.32511138916016,-7.81382751464844,8.82047843933105,0.310249328613281
"9",-11.1473617553711,0.49644935131073,19.4609794616699,11.8691511154175,-9.08870315551758,-0.903008818626404,9.53535079956055,11.9581813812256,5.44041919708252,-7.47232580184937,-0.744383573532104,9.38868427276611,-0.797457456588745,10.8720226287842,2.61778545379639,2.40131878852844,-2.98697304725647,5.18192005157471,7.78689479827881,-3.57960152626038,-2.63995671272278,9.22716617584229,-5.69512939453125,6.16739225387573,-4.37621307373047,-14.9292602539062,10.3680067062378,-5.50263500213623,-3.13740181922913,8.62587451934814,-8.07034301757812,2.67269015312195,6.50291061401367,-1.30093050003052,-6.94478607177734,-9.15254974365234,-5.36517906188965,12.3925399780273,-0.957054138183594,-4.1488208770752,0.0148629136383533,-4.06235551834106,-2.54054546356201,-11.5797748565674,10.8710536956787,6.36760854721069,9.00918579101562,6.0135669708252,8.32870292663574,2.36132526397705,13.2881355285645,-0.321769446134567,-10.5653972625732,-4.87998199462891,2.71544933319092,4.99725437164307,-0.628191709518433,-2.28590106964111,9.62033462524414,-16.437313079834,-8.73040676116943,2.8830132484436,-8.92218685150146,-15.2525863647461,-13.9970817565918,-18.8517360687256,-5.99682092666626,-10.0662975311279,-2.2978687286377,15.0272912979126,-3.44295525550842,1.00516223907471,10.9759883880615,-6.58718347549438,17.1377105712891,2.0854287147522,6.9786205291748,-0.471481323242188,-16.5294036865234,-8.83008193969727,-0.434004187583923,-4.23517274856567,-3.86407279968262,-7.20910167694092,-3.62598848342896,-1.20732450485229,2.49396681785583,-12.2843379974365,-4.35063457489014,-25.782642364502,-8.16365051269531,-2.32255554199219,-3.33191967010498,13.2714538574219,12.7809219360352,0.469861507415771,-21.709342956543,-6.88894462585449,-0.234935641288757,2.74600791931152,10.7450742721558,3.69599580764771,8.58855819702148,-7.57846641540527,13.868145942688,2.50888967514038,9.95138072967529,0.525623798370361,14.7148818969727,-5.39685440063477,-0.636621475219727,1.44379043579102,-2.16509819030762,1.8201847076416,6.43037128448486,-6.28372287750244,10.1349058151245,-1.64884376525879,3.97199106216431,2.80810594558716,1.82068586349487,-13.5950202941895,-2.48450613021851,3.18501138687134,-3.98122215270996,0.145877838134766,5.18977069854736,-2.98233318328857,-10.1560888290405,8.14608669281006,-0.466758728027344,3.31386804580688,-11.1090888977051,0.958374500274658,-7.8416109085083,-10.2876300811768,16.2062301635742,-2.64614105224609,2.32553148269653,-32.1232681274414,17.1673259735107,-8.31983089447021,-34.7538414001465,3.49823379516602,-8.2174072265625,8.55583381652832,0.0993919372558594
"10",-10.6876583099365,1.17049789428711,18.3579998016357,12.1049547195435,-8.75730037689209,-0.475062608718872,9.48169612884521,11.6785106658936,6.0784158706665,-7.03522253036499,0.544825553894043,7.79874277114868,0.289094209671021,11.0498895645142,2.47703099250793,3.07963919639587,-4.09898996353149,5.72051858901978,7.38245391845703,-3.85215401649475,-3.37285709381104,9.68376731872559,-5.85803127288818,6.58540201187134,-4.38239812850952,-15.0375347137451,10.7009477615356,-6.31907367706299,-2.59764981269836,9.70370769500732,-7.84130001068115,3.01849770545959,6.49571943283081,-1.73067784309387,-7.15746784210205,-9.59595108032227,-5.04545402526855,12.3328170776367,1.28897285461426,-2.36579132080078,0.376844465732574,-4.53323888778687,-2.67049217224121,-12.2064952850342,12.2781352996826,6.30432367324829,9.11010360717773,5.55306625366211,8.45030212402344,1.28737354278564,13.3144817352295,-0.397940009832382,-10.764552116394,-5.01660633087158,2.76948285102844,5.60495662689209,-1.53098678588867,-1.83603477478027,9.04780960083008,-16.0656089782715,-9.83926582336426,4.36188364028931,-9.02879524230957,-15.692419052124,-13.4152374267578,-17.7241897583008,-5.32295227050781,-10.7001953125,-1.23660659790039,14.5269021987915,-2.95447516441345,1.09742546081543,10.7209339141846,-6.1595344543457,17.1138286590576,1.01596212387085,6.4275016784668,0.264374732971191,-16.4108047485352,-8.35109806060791,-0.3712397813797,-5.46190881729126,-2.61302185058594,-6.5371265411377,-4.71135234832764,-1.1254301071167,2.26728320121765,-11.5327444076538,-3.72692823410034,-24.8868007659912,-7.80637645721436,-1.56076109409332,-3.9849009513855,13.3960361480713,12.5048503875732,0.924022674560547,-21.0573196411133,-6.96789360046387,0.917169094085693,2.49476671218872,11.0026683807373,3.189368724823,8.47794151306152,-7.69749927520752,13.2418994903564,2.01394653320312,10.3570747375488,1.43502187728882,13.7447919845581,-5.33889865875244,-0.858903884887695,0.654052734375,-0.865789413452148,1.00167083740234,5.60502004623413,-6.76101684570312,11.2052240371704,-1.22253847122192,3.25332641601562,1.56426525115967,3.26976346969604,-14.4308891296387,-2.2932333946228,3.10597896575928,-4.38314342498779,1.71633338928223,6.91674137115479,-2.87141895294189,-10.5192279815674,7.97720050811768,0.338648319244385,3.31042098999023,-11.4287452697754,0.729207515716553,-8.11438465118408,-10.418363571167,16.9523086547852,-1.86066722869873,1.00639343261719,-31.7471656799316,16.0911922454834,-7.23723697662354,-34.5642051696777,3.64631462097168,-8.52763366699219,8.28022384643555,-0.162479400634766
